To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         TIME    STAGE (ft.)   QUALITY
----------   -----   -----------   -------
10/01/2007   00:00          4.16         1
10/02/2007   00:00          4.16         1
10/03/2007   00:00          4.24         1
10/04/2007   00:00          4.21         1
10/05/2007   00:00          4.20         1
10/06/2007   00:00          4.18         1
10/07/2007   00:00          4.17         1
10/08/2007   00:00          4.18         1
10/09/2007   00:00          4.18         1
10/10/2007   00:00          4.17         1
10/11/2007   00:00          4.18         1
10/12/2007   00:00          4.18         1
10/13/2007   00:00          4.17         1
10/14/2007   00:00          4.17         1
10/15/2007   00:00          4.16         1
10/16/2007   00:00          4.17         1
10/17/2007   00:00          4.19         1
10/18/2007   00:00          4.18         1
10/19/2007   00:00          4.26         1
10/20/2007   00:00          4.25         1
10/21/2007   00:00          4.22         1
10/22/2007   00:00          4.19         1
10/23/2007   00:00          4.18         1
10/24/2007   00:00          4.18         1
10/25/2007   00:00          4.18         1
10/26/2007   00:00          4.18         1
10/27/2007   00:00          4.18         1
10/28/2007   00:00          4.18         1
10/29/2007   00:00          4.18         1
10/30/2007   00:00          4.18         1
10/31/2007   00:00          4.18         1
11/01/2007   00:00          4.20         1
11/02/2007   00:00          4.21         1
11/03/2007   00:00          4.21         1
11/04/2007   00:00          4.20         1
11/05/2007   00:00          4.19         1
11/06/2007   00:00          4.20         1
11/07/2007   00:00          4.20         1
11/08/2007   00:00          4.19         1
11/09/2007   00:00          4.19         1
11/10/2007   00:00          4.21         1
11/11/2007   00:00          4.21         1
11/12/2007   00:00          4.20         1
11/13/2007   00:00          4.36         1
11/14/2007   00:00          4.28         1
11/15/2007   00:00          4.24         1
11/16/2007   00:00          4.25         1
11/17/2007   00:00          4.31         1
11/18/2007   00:00          4.41         1
11/19/2007   00:00          4.36         1
11/20/2007   00:00          4.32         1
11/21/2007   00:00          4.29         1
11/22/2007   00:00          4.26         1
11/23/2007   00:00          4.25         1
11/24/2007   00:00          4.25         1
11/25/2007   00:00          4.25         1
11/26/2007   00:00          4.23         1
11/27/2007   00:00          4.24         1
11/28/2007   00:00          4.22         1
11/29/2007   00:00          4.23         1
11/30/2007   00:00          4.23         1
12/01/2007   00:00          4.23         1
12/02/2007   00:00          4.24         1
12/03/2007   00:00          4.38         1
12/04/2007   00:00          4.62         1
12/05/2007   00:00          4.73         1
12/06/2007   00:00          4.69         1
12/07/2007   00:00          4.60         1
12/08/2007   00:00          4.54         1
12/09/2007   00:00          4.49         1
12/10/2007   00:00          4.46         1
12/11/2007   00:00          4.42         1
12/12/2007   00:00          4.41         1
12/13/2007   00:00          4.38         1
12/14/2007   00:00          4.36         1
12/15/2007   00:00          4.35         1
12/16/2007   00:00          4.33         1
12/17/2007   00:00          4.32         1
12/18/2007   00:00          4.32         1
12/19/2007   00:00          4.35         1
12/20/2007   00:00          4.41         1
12/21/2007   00:00          4.41         1
12/22/2007   00:00          4.40         1
12/23/2007   00:00          4.40         1
12/24/2007   00:00          4.48         1
12/25/2007   00:00          4.49         1
12/26/2007   00:00          4.49         1
12/27/2007   00:00          4.48         1
12/28/2007   00:00          4.46         1
12/29/2007   00:00          4.45         1
12/30/2007   00:00          4.42         1
12/31/2007   00:00          4.40         1
01/01/2008   00:00          4.37         1
01/02/2008   00:00          4.36         1
01/03/2008   00:00          4.36         1
01/04/2008   00:00          4.36         1
01/05/2008   00:00          4.37         1
01/06/2008   00:00          4.37         1
01/07/2008   00:00          4.37         1
01/08/2008   00:00          4.37         1
01/09/2008   00:00          4.38         1
01/10/2008   00:00          4.37         1
01/11/2008   00:00          4.39         1
01/12/2008   00:00          4.40         1
01/13/2008   00:00          4.41         1
01/14/2008   00:00          4.42         1
01/15/2008   00:00          4.43         1
01/16/2008   00:00          4.41         1
01/17/2008   00:00          4.41         1
01/18/2008   00:00          4.40         1
01/19/2008   00:00          4.39         1
01/20/2008   00:00          4.39         1
01/21/2008   00:00          4.36         1
01/22/2008   00:00            ""       250
01/23/2008   00:00            ""       250
01/24/2008   00:00            ""       250
01/25/2008   00:00          4.33        50
01/26/2008   00:00          4.33        50
01/27/2008   00:00          4.33        50
01/28/2008   00:00          4.32        50
01/29/2008   00:00          4.31        50
01/30/2008   00:00          4.30        50
01/31/2008   00:00          4.34        50
02/01/2008   00:00          4.33        50
02/02/2008   00:00          4.31         1
02/03/2008   00:00          4.31         1
02/04/2008   00:00          4.30         1
02/05/2008   00:00          4.30         1
02/06/2008   00:00          4.31         1
02/07/2008   00:00          4.32         1
02/08/2008   00:00          4.33         1
02/09/2008   00:00          4.41         1
02/10/2008   00:00          4.48         1
02/11/2008   00:00          4.61         1
02/12/2008   00:00          4.67         1
02/13/2008   00:00          4.74         1
02/14/2008   00:00          4.75         1
02/15/2008   00:00          4.69         1
02/16/2008   00:00          4.65         1
02/17/2008   00:00          4.62         1
02/18/2008   00:00          4.61         1
02/19/2008   00:00          4.60         1
02/20/2008   00:00          4.60         1
02/21/2008   00:00          4.61         1
02/22/2008   00:00          4.63         1
02/23/2008   00:00          4.63         1
02/24/2008   00:00          4.63         1
02/25/2008   00:00          4.64         1
02/26/2008   00:00          4.64         1
02/27/2008   00:00          4.66         1
02/28/2008   00:00          4.67         1
02/29/2008   00:00          4.67         1
03/01/2008   00:00          4.80         1
03/02/2008   00:00          4.88         1
03/03/2008   00:00          4.81         1
03/04/2008   00:00          4.73         1
03/05/2008   00:00          4.62         1
03/06/2008   00:00          4.53         1
03/07/2008   00:00          4.51         1
03/08/2008   00:00          4.51         1
03/09/2008   00:00          4.51         1
03/10/2008   00:00          4.51         1
03/11/2008   00:00          4.56         1
03/12/2008   00:00          4.64         1
03/13/2008   00:00          4.68         1
03/14/2008   00:00          4.66         1
03/15/2008   00:00          4.63         1
03/16/2008   00:00          4.60         1
03/17/2008   00:00          4.57         1
03/18/2008   00:00          4.55         1
03/19/2008   00:00          4.55         1
03/20/2008   00:00          4.55         1
03/21/2008   00:00          4.54         1
03/22/2008   00:00          4.52         1
03/23/2008   00:00          4.51         1
03/24/2008   00:00          4.53         1
03/25/2008   00:00          4.53         1
03/26/2008   00:00          4.53         1
03/27/2008   00:00          4.53         1
03/28/2008   00:00          4.52         1
03/29/2008   00:00          4.51         1
03/30/2008   00:00          4.49         1
03/31/2008   00:00          4.47         1
04/01/2008   00:00          4.45         1
04/02/2008   00:00          4.44         1
04/03/2008   00:00          4.43         1
04/04/2008   00:00          4.43         1
04/05/2008   00:00          4.43         1
04/06/2008   00:00          4.43         1
04/07/2008   00:00          4.43         1
04/08/2008   00:00          4.45         1
04/09/2008   00:00          4.46         1
04/10/2008   00:00          4.46         1
04/11/2008   00:00          4.46         1
04/12/2008   00:00          4.47         1
04/13/2008   00:00          4.56         1
04/14/2008   00:00          4.96         1
04/15/2008   00:00          5.00         1
04/16/2008   00:00          4.83         1
04/17/2008   00:00          4.73         1
04/18/2008   00:00          4.75         1
04/19/2008   00:00          4.74         1
04/20/2008   00:00          4.70         1
04/21/2008   00:00          4.66         1
04/22/2008   00:00          4.61         1
04/23/2008   00:00          4.59         1
04/24/2008   00:00          4.59         1
04/25/2008   00:00          4.59         1
04/26/2008   00:00          4.57         1
04/27/2008   00:00          4.59         1
04/28/2008   00:00          4.69         1
04/29/2008   00:00          4.96         1
04/30/2008   00:00          4.94         1
05/01/2008   00:00          4.82         1
05/02/2008   00:00          4.72         1
05/03/2008   00:00          4.73         1
05/04/2008   00:00          4.81         1
05/05/2008   00:00          5.01         1
05/06/2008   00:00          5.32         1
05/07/2008   00:00          5.46         1
05/08/2008   00:00          5.51         1
05/09/2008   00:00          5.40         1
05/10/2008   00:00          5.29         1
05/11/2008   00:00          5.29         1
