To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         TIME    STAGE (ft.)   QUALITY
----------   -----   -----------   -------
10/01/2001   00:00            ""       255
10/02/2001   00:00            ""       255
10/03/2001   00:00            ""       255
10/04/2001   00:00            ""       255
10/05/2001   00:00            ""       255
10/06/2001   00:00            ""       255
10/07/2001   00:00            ""       255
10/08/2001   00:00            ""       255
10/09/2001   00:00            ""       255
10/10/2001   00:00            ""       255
10/11/2001   00:00            ""       255
10/12/2001   00:00            ""       255
10/13/2001   00:00            ""       255
10/14/2001   00:00            ""       255
10/15/2001   00:00            ""       255
10/16/2001   00:00            ""       255
10/17/2001   00:00            ""       255
10/18/2001   00:00            ""       255
10/19/2001   00:00            ""       255
10/20/2001   00:00            ""       255
10/21/2001   00:00            ""       255
10/22/2001   00:00            ""       255
10/23/2001   00:00            ""       255
10/24/2001   00:00            ""       255
10/25/2001   00:00            ""       255
10/26/2001   00:00            ""       255
10/27/2001   00:00            ""       255
10/28/2001   00:00            ""       255
10/29/2001   00:00            ""       255
10/30/2001   00:00            ""       255
10/31/2001   00:00            ""       255
11/01/2001   00:00            ""       255
11/02/2001   00:00            ""       255
11/03/2001   00:00            ""       255
11/04/2001   00:00            ""       255
11/05/2001   00:00            ""       255
11/06/2001   00:00            ""       255
11/07/2001   00:00            ""       255
11/08/2001   00:00            ""       255
11/09/2001   00:00            ""       255
11/10/2001   00:00            ""       255
11/11/2001   00:00            ""       255
11/12/2001   00:00            ""       255
11/13/2001   00:00            ""       255
11/14/2001   00:00            ""       255
11/15/2001   00:00            ""       255
11/16/2001   00:00            ""       255
11/17/2001   00:00            ""       255
11/18/2001   00:00            ""       255
11/19/2001   00:00            ""       255
11/20/2001   00:00            ""       255
11/21/2001   00:00            ""       255
11/22/2001   00:00            ""       255
11/23/2001   00:00            ""       255
11/24/2001   00:00            ""       255
11/25/2001   00:00            ""       255
11/26/2001   00:00            ""       255
11/27/2001   00:00            ""       255
11/28/2001   00:00            ""       255
11/29/2001   00:00            ""       255
11/30/2001   00:00            ""       255
12/01/2001   00:00            ""       255
12/02/2001   00:00            ""       255
12/03/2001   00:00            ""       255
12/04/2001   00:00            ""       255
12/05/2001   00:00            ""       255
